iteration,r2,mae,rmse,param_C,param_gamma,param_kernel,param_degree,param_coef0,param_tol,param_epsilon,param_max_iter,param_shrinking
78,-0.077180931,0.5,0.5,0.03445416,0.114174352,rbf,5,6.126523228,1.76E-05,0.722081222,34081,FALSE
79,-0.055766605,0.49462711,0.495005058,1.021169343,0.980563887,sigmoid,3,7.436554422,0.000891029,0.479927692,17986,TRUE
80,0.077574989,0.426583683,0.462691169,0.240271889,0.000179408,rbf,5,6.26748437,0.004569319,0.281851472,6077,FALSE
81,-0.077180931,0.5,0.5,0.179265912,0.00029506,poly,4,3.358475366,0.000543051,0.894096564,6280,TRUE
82,0.340708056,0.2957754,0.391169118,0.093092781,0.000595948,poly,3,3.830352924,0.008821098,0.161277214,15021,TRUE
83,-0.045394231,0.491847107,0.492567468,3.507515214,0.00014207,sigmoid,5,3.30881391,1.29E-05,0.47126506,5080,TRUE
84,-0.077180931,0.5,0.5,0.06600747,0.048463205,sigmoid,5,9.048384783,9.55E-05,0.58823862,46581,TRUE
85,0.447348347,0.293129525,0.358138832,41.68322557,0.00119979,sigmoid,5,0.058960836,0.000739046,0.358241215,26558,FALSE
86,0.207427073,0.409536582,0.42888938,112.7556856,0.000937347,poly,5,2.194216346,0.00017142,0.441477616,2902,FALSE
87,-0.077180931,0.5,0.5,6.676969755,0.427028311,rbf,5,7.241813776,0.008463622,0.842100606,9364,TRUE
88,0.144035962,0.440902826,0.445711085,19.38967926,0.000160449,sigmoid,2,0.839474622,0.000157204,0.434326642,31257,TRUE
89,0.484938127,0.26147688,0.345744577,0.430356656,0.000246764,linear,4,3.791038642,1.19E-05,0.219543681,22420,FALSE
90,-0.077180931,0.5,0.5,0.003056594,0.01385391,sigmoid,4,7.520098236,0.001162786,0.833605042,17532,TRUE
91,-0.399760211,0.382641059,0.569970657,0.010958874,0.000605599,sigmoid,2,7.490242611,5.63E-05,0.061564752,23935,TRUE
92,-0.077180931,0.5,0.5,0.003657967,0.000820975,linear,2,7.542332041,0.006365639,0.950115615,14065,TRUE
93,-0.077180931,0.5,0.5,536.0331936,0.489197899,poly,3,1.262209749,0.000460322,0.672764256,37960,TRUE
94,-0.155653283,0.413293176,0.517892301,24.00136267,0.000173213,sigmoid,4,7.668980984,0.000499013,0.176111252,40796,TRUE
95,0.386416248,0.2737333,0.377365855,35.2433078,0.000118023,poly,4,1.080987497,2.23E-05,0.035421641,21444,FALSE
96,-0.077180931,0.5,0.5,0.003672332,0.003606339,sigmoid,3,0.759964778,0.008680237,0.693708272,42106,TRUE
97,-0.077180931,0.5,0.5,0.699911251,0.00030844,linear,4,8.502932391,0.000298434,0.604407499,8933,TRUE
98,0.144393377,0.280679579,0.44561802,0.119626095,0.02105567,rbf,5,6.615213407,0.000889859,0.078267169,43437,FALSE
99,0.459446938,0.252918824,0.35419697,4.955649569,0.149784976,linear,5,8.223309181,1.37E-05,0.114483482,24736,FALSE
100,-0.077180931,0.5,0.5,0.001235456,4.647094889,poly,5,1.761369611,0.000318507,0.526529279,43628,FALSE
