iteration,r2,mae,rmse,best_C,best_gamma,best_kernel,best_degree,best_coef0,best_tol,best_epsilon,best_max_iter,best_shrinking
88,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
89,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
90,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
91,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
92,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
93,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
94,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
95,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
96,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
97,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
98,0.59229368,0.185602579,0.307609255,1.192884197,0.078738133,poly,4,10,1.00E-05,0.11778253,42540,TRUE
99,0.59229368,0.185602579,0.307609255,1.192884197,0.078738133,poly,4,10,1.00E-05,0.11778253,42540,TRUE
100,0.59229368,0.185602579,0.307609255,1.192884197,0.078738133,poly,4,10,1.00E-05,0.11778253,42540,TRUE
