iteration,r2,mae,rmse,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_colsample_bylevel,param_colsample_bynode,param_reg_alpha,param_reg_lambda,param_min_child_weight,param_gamma,param_max_delta_step,param_scale_pos_weight
26,0.405648124,0.266807677,0.361372011,95,3,0.106731396,0.652327864,0.991919182,0.664632791,0.776734205,0.705667447,0.560906865,2,0.3762193,2,1.318385434
27,0.408607313,0.267167169,0.360054876,904,8,0.178927774,0.659237514,0.650978208,0.72330334,0.959592595,0.796122305,0.860702582,6,1.050382692,3,1.500400116
28,0.384711048,0.2914412,0.370507962,412,15,0.172366221,0.949885089,0.989534809,0.899791044,0.970305529,0.236737332,0.162501767,3,4.407081023,0,0.769040995
29,0.354933067,0.308294729,0.382994078,996,8,0.236892084,0.764685267,0.867962852,0.894023016,0.699266896,0.159197843,0.701278188,7,4.360833915,7,0.833650576
30,0.377272175,0.308427088,0.373680517,886,10,0.111400943,0.928214552,0.948529214,0.689169419,0.864013273,0.398465979,0.278603061,2,4.83444552,4,1.026719194
31,0.452222978,0.234469452,0.339803872,571,9,0.207060254,0.937464465,0.732459947,0.611040214,0.950815365,0.261215196,0.580589734,5,0.191285987,9,1.151845638
32,0.418840163,0.282999501,0.355447888,796,15,0.100966421,0.842483541,0.804569224,0.754078173,0.830635217,0.254722506,0.708785284,1,2.599601743,8,1.53028572
33,0.386678397,0.288680086,0.36966268,809,14,0.204482266,0.745688589,0.627989524,0.865695074,0.732080014,0.313915645,0.84801528,5,2.53561252,10,1.112589363
34,0.385767555,0.287206873,0.370054357,462,14,0.095740009,0.65091512,0.768178534,0.976145468,0.870927178,0.902805546,0.615514916,5,2.030375844,0,0.955812424
35,0.400598285,0.284466887,0.363604499,265,9,0.23787006,0.842664628,0.728899692,0.776714407,0.870250893,0.511173997,0.793735399,3,3.294253725,4,1.273178015
36,0.383686649,0.30723572,0.370947056,698,12,0.107204594,0.927369386,0.900455255,0.869118268,0.689856266,0.199129933,0.024425388,4,4.919680114,9,1.774606542
37,0.370591972,0.30757244,0.376498491,124,10,0.130187893,0.851906152,0.677774095,0.8785417,0.797750868,0.24398444,0.656058011,1,4.463299131,1,1.66763061
