flood,lulc,Density_River,Density_Road,Distan2river_met,Distan2road_met,aspect,curvature,dem,flowDir,slope,twi,NDVI,rainfall,NDBI,NDWI
1,0.4,0.827818824,0.375544433,0.074386964,0.02383742,0.411015987,0.437770635,0.147889056,0.011002872,0.1813447,0.42390041,0.45570243,0.638151267,0.03822336,-0.5937721
1,0.6,0.61580469,0.336342897,0.179764061,0.027860594,0.488486098,0.501785726,0.178666565,0.025590037,0.060039227,0.327765441,0.133116019,0.507036317,0.17493866,-0.4158031
1,0.4,0.61130742,0.368796669,0.358301999,0.086144336,0.334508023,0.616740112,0.155367279,0.110529145,0.09300881,0.318625614,0.094595841,0.695076962,0.24058019,-0.39964157
1,0.6,0.618053325,0.360332391,0.316597841,0.069363071,0.784035068,0.38223317,0.167526526,0.198840339,0.129468388,0.494530197,0.16637202,0.642275444,-0.31137726,0.6716642
1,0.4,0.637969804,0.341050447,0.093851402,0.0623272,0.553544368,0.456955812,0.175501824,0.010920938,0.117945902,0.487497958,0.123763783,0.642275444,-0.31470293,-0.7348837
1,0.6,0.405717957,0.291380588,0.613460786,0.158966575,0.822908417,0.331301411,0.196106808,0.162871289,0.107012671,0.422224745,0.084961669,0.310339081,0.004047298,-0.42792127
1,0.6,0.451011886,0.304537448,0.388687517,0.097490806,0.62157033,0.40088159,0.186117659,0.044982272,0.057927243,0.59113116,0.190868682,0.256604507,-0.3621399,0.47750592
1,0.6,0.373915837,0.311731322,0.13450257,0.005735681,0.840910602,0.282941492,0.166521208,0.263146521,0.101899347,0.381848293,0.07675311,0.283835058,0.16402116,-0.4403927
1,0.4,0.332476711,0.293068954,0.34763464,0.101594031,0.079850191,0.363802686,0.181137715,0.268424445,0.068966387,0.63504483,0.022974669,0.57729095,-0.049172018,-0.6146145
1,0.4,0.36331513,0.299490237,0.322920604,0.114036229,0.303014495,0.355912016,0.184836033,0.015167613,0.101235903,0.454098136,0.209126726,0.095635166,0.20925382,-0.37171054
1,0.4,0.626405397,0.149753491,0.014298049,0.087658895,0.215571788,0.416867252,0.181171178,0.576969542,0.109544599,0.479410674,0.227834234,0.10134106,0.07819761,-0.3695587
1,0.4,0.304850626,0.251024007,0.530935696,0.130681176,0.654488539,0.403685465,0.187802343,0.104827644,0.027103185,0.940023032,0.118749286,0.10134106,0.17107332,-0.43422353
1,0.6,0.553806617,0.157141915,0.361021319,0.077027385,0.115182951,0.315885324,0.206381322,0.127251985,0.129403837,0.829257102,0.121145165,0.10134106,-0.03454754,-0.48873535
1,0.6,0.472213299,0.158162282,0.498360184,0.020790956,0.415030208,0.344561718,0.206988671,0.02082386,0.142250352,0.936612197,0.111226023,0.084390694,0.08212128,-0.3122201
1,0.6,0.492129778,0.159446315,0.404457409,0.025933498,0.581354872,0.273480419,0.222760566,0.121765059,0.06203891,0.951069625,0.145952601,0.084390694,-0.09667397,-0.6447855
1,0.6,0.576614199,0.157665947,0.34534438,0.075608294,0.42464465,0.557712146,0.205937559,0.02548208,0.044941217,0.488053117,0.132637337,0.078947414,0.03749531,-0.4894111
1,0.6,0.455509155,0.180301266,0.468927727,0.115665017,0.067023503,0.370277318,0.23425053,0.640540937,0.123757002,0.384839018,0.206120494,0.205375055,-0.25387657,-0.69062585
1,0.3,0.695470607,0.445917704,0.045230477,0.063710176,0.876339882,0.195333155,0.191319494,0.216659088,0.153458765,0.776402802,0.050367711,0.084390694,0.1996598,-0.34188947
1,0.3,0.848056537,0.658153084,0.320233231,0.215206756,0.341266842,0.534674983,0.191346052,0.042897413,0.093156928,0.692486492,0.024959028,0.084390694,0.114849366,-0.44627687
1,0.6,0.258592997,0.380789598,0.627140025,0.125485616,0.846324948,0.247262824,0.236464805,0.196130329,0.186788476,0.335584998,0.138749787,0.078947414,0.06537245,-0.44843304
1,0.3,0.761323482,0.529415915,0.408601248,0.041581855,0.704994607,0.243485105,0.22780576,0.554284619,0.045285559,0.330447945,0.269390242,0.084390694,-0.14199063,-0.6959192
1,0.6,0.664953421,0.21252095,0.107372522,0.00630299,0.424981412,0.428712737,0.239457574,0.014568251,0.049884574,0.629377636,0.178611719,0.078947414,0.04247191,-0.49850535
1,0.6,0.590106007,0.227006424,0.834047985,0.15746693,0.448268762,0.261817013,0.459932906,0.012978642,0.148773893,0.994517275,0.156053312,0.078947414,0.1009013,-0.36015964
1,0.3,0.82653389,0.170386403,0.108833569,0.180126965,0.195988854,0.522585429,0.531090255,0.418036539,0.150366498,0.564361962,0.47800812,0.078947414,0.13051024,-0.43061107
1,0.4,0.875682621,0.372453489,0.11893415,0.037785203,0.128379305,0.314780694,0.529580661,0.205676441,0.061803158,0.762384441,0.184650934,0.104414857,-0.096993305,-0.62239623
1,0.4,0.680051397,0.405860508,0.046999517,0.060867668,0.329693324,0.233168696,0.50310947,0.02082386,0.043930655,0.851223726,0.276671034,0.078947414,-0.012797075,-0.5151864
1,0.4,0.327979441,0.39836725,0.531216598,0.010259792,0.1427681,0.189070381,0.650587449,0.313083812,0.14408133,0.495019327,0.289114121,0.126173155,-0.1729548,-0.5282284
1,0.4,0.300353357,0.341339433,0.239586128,0.003712553,0.41794837,0.259388722,0.623399719,0.014744833,0.145703734,0.641037448,0.412502813,0.113390686,0.23898375,-0.27955183
1,0.4,0.159010601,0.328725554,0.708591107,0.151827291,0.51599657,0.425291518,0.64698881,0.035212948,0.0986841,0.732735967,0.519307426,0.126173155,-0.017607551,-0.5903546
1,0.3,0.314808866,0.456115714,0.418084945,0.057398262,0.722198956,0.461458688,0.54223722,0.113735322,0.090106292,0.312706118,0.234765169,0.153201861,-0.008227067,-0.70741904
1,0.3,0.177320912,0.273004298,0.564949458,0.121320351,0.797388186,0.24098668,0.559985635,0.418137703,0.086477123,0.490336404,0.5459131,0.79946493,0.09171005,-0.4327227
1,0.4,0.298747189,0.503857257,0.195240132,0.029437186,0.421793201,0.198269031,0.561355221,0.01130749,0.173706426,0.569870634,0.43538129,0.153201861,0.05468952,-0.44878563
1,0.4,0.270157404,0.415798752,0.46276688,0.04392396,0.554189788,0.356187688,0.609071656,0.040470544,0.099686196,0.685936626,0.398513447,0.153201861,-0.2328712,-0.63976485
1,0.4,0.460648892,0.486600443,0.041369025,0.042240001,0.232075136,0.300672101,0.567305638,0.02082386,0.045337874,0.758915315,0.383912211,0.153201861,-0.46107784,-0.031349067
1,0.4,0.842595567,0.334298771,0.031757073,0.037228862,0.347911506,0.449255365,0.601595505,0.02082386,0.170723323,0.958778429,0.200534728,0.153201861,-0.13859203,-0.517179
1,0.9,0.706713781,0.263252548,0.391628611,0.112030712,0.532564404,0.36787747,0.21718813,0.086102269,0.203811809,0.807490243,0.496280203,0.098602381,0.040603664,-0.5514236
1,0.9,0.295534854,0.474183434,0.101809376,0.133249136,0.758793303,0.466092473,0.362941391,0.12802481,0.185920831,0.606440516,0.53499656,0.478820096,-0.2749274,-0.6377202
1,0.9,0.785415997,0.195759882,0.037126735,0.029848326,0.781123514,0.316898672,0.277099091,0.061446998,0.239428351,0.968924475,0.173965293,0.137877683,0.045574635,-0.53723407
1,0.9,0.877288789,0.308296933,0.72971358,0.145440316,0.539251641,0.362978467,0.295681404,0.711321758,0.060867769,0.57536378,0.211617658,0.122832219,0.020319864,-0.57750684
1,0.6,0.856729843,0.274801918,0.040852107,0.038224806,0.471866925,0.229664703,0.273709478,0.033266986,0.099728075,0.55145851,0.304939289,0.122832219,-0.042433638,-0.49693933
1,0.4,0.870864118,0.152741954,0.2689054,0.166881222,0.847413354,0.462376986,0.524211864,0.177956108,0.134193314,0.836973283,0.463723159,0.735362206,0.16523868,-0.28474134
1,0.4,0.610664953,0.64286656,0.660816447,0.005021804,0.907589934,0.4713797,0.572448637,0.158956799,0.120844193,0.574598798,0.339731892,0.128578573,-0.2074609,-0.59194034
1,0.4,0.366848699,0.659395213,0.156382153,0.020547291,0.508331673,0.433663519,0.529385721,0.04138682,0.030227825,0.841269524,0.159847861,0.361724826,0.1616674,-0.25923473
1,0.9,0.312238998,0.291962888,0.824398952,0.040866193,0.905866125,0.217975529,0.254656668,0.137102131,0.053743737,0.552116246,0.459902806,0.465150138,-0.15639001,-0.63746226
1,0.3,0.312560231,0.514521849,0.663318224,0.037443797,0.66998494,0.320288167,0.420446571,0.039524022,0.226381548,0.665743138,0.345315003,0.648369221,-0.25736293,-0.63187295
1,0.9,0.898490202,0.285550272,0.321900905,0.107741263,0.853359034,0.261131967,0.280562338,0.216659088,0.087648198,0.343033916,0.061894603,0.435090032,0.051701933,-0.510551
1,0.9,0.883070993,0.277475879,0.228458883,0.010426049,0.922998615,0.461698989,0.272787819,0.35660302,0.221933142,0.378444087,0.114280635,0.656410413,-0.1004313,0.32882375
