flood,lulc,Density_River,Density_Road,Distan2river,Distan2road_met,aspect,curvature,dem,flowDir,slope,twi,NDVI,rainfall
1,0.0,0.0,0.14106819642429794,0.6712094377999978,0.050734393391219317,0.7145544417632524,0.5476190277040613,0.10018214936247723,0.11811023622047244,0.4675523783237944,0.12611366664323953,0.8634048596699414,0.7699041115663011
1,0.0,0.3480314960629921,0.003142527134140836,0.17725420018195842,0.21601513473954925,0.25942628750863,0.5476190277040613,0.2568306010928962,0.0,0.11015366842459288,0.09153837375724178,0.8241785243636054,0.4525812073903743
1,0.0,0.1622047244094488,0.00655006982382423,0.20779994657648748,0.1997491596967829,0.24722022119463752,0.5714285525617423,0.5112325440194293,0.0,0.5361953140881454,0.32021555481159714,0.8077286820792224,0.4036464170209476
1,0.0,0.0,0.2118993097474364,0.753812747744904,0.032176181608064895,0.027310272985794613,0.30952376812160115,0.029143897996357013,0.49606299212598426,0.21610184127760632,0.21633042523093185,0.7759506943169661,0.7703262196756765
1,0.0,0.13700787401574802,0.07688975109351662,0.3647615724560654,0.016318499696537505,0.8903172957601401,0.42857140341565636,0.08743169398907104,0.49606299212598426,0.387376749593848,0.17469381745601673,0.7613057301552687,0.6439982793312589
1,1.0,0.1274015748031496,0.41251310706735106,0.44918097849959554,0.05171865015352465,0.15390365579414958,0.5476190277040613,0.0024286581663630845,0.11811023622047244,0.04126265558142955,0.2275077731700453,0.20913010739911445,0.8774882918998513
1,0.0,0.1500787401574803,0.009811805656047664,0.2684971518518792,0.05450490778610189,0.7553863191871474,0.6428571249336552,0.2938676381299332,0.11811023622047244,0.22291341979179236,0.12189718029407093,0.6943326731097292,0.4503619559208079
1,0.42857142857142855,0.5181102362204724,0.42128138861288,0.14033683733185007,0.00478328436087401,0.8257200369397709,0.5714285525617423,0.10321797207043108,1.0,0.06431700764706173,0.18157057582740943,0.47422340553124104,0.16571229785741365
1,0.2857142857142857,0.46929133858267713,0.1923968073561834,0.08343377257015437,0.0023101489719244495,0.3108954287033563,0.47619045313101843,0.4444444444444444,0.0,0.1331103973265859,0.14087528263022467,0.5001679236825667,0.19781119981494488
1,0.0,0.21732283464566926,0.07240831665199658,0.3000944295656107,0.22766550661875454,0.7452901237171531,0.6666666519924662,0.8087431693989071,0.11811023622047244,0.33201605932546535,0.16094449932273294,0.8675412673763986,0.18822434319575734
1,0.42857142857142855,0.23149606299212597,0.02611978161966349,0.02001636450532728,0.23128549638063162,0.08531466513342938,0.6190476022771042,0.08318154219793564,0.0,0.0772656548261438,0.2814415954550213,0.3708575668603556,0.2062092663254692
1,0.42857142857142855,0.04771653543307087,0.40389449977479874,0.3865783093335123,0.008925577593424444,0.4378866854769426,0.5952380774194233,0.015179113539769277,0.49606299212598426,0.03653367219275818,0.1996863680859264,0.5491042271780168,0.7988533106668513
1,0.42857142857142855,0.23149606299212597,0.25385108718402843,0.03753968041819728,0.012434956141882638,0.03415910962720579,0.5238095028463804,0.26958105646630237,1.0,0.048908760819014026,0.18866935917588232,0.5035606715747627,0.4030425670709969
1,0.0,0.384251968503937,0.027009398304543776,0.14693343729874947,0.14034627445909267,0.5897676113243484,0.5952380774194233,0.25440194292653306,0.023622047244094488,0.46921766360530776,0.07707671623170947,0.8529251665469928,0.6364313674272183
1,0.42857142857142855,0.8551181102362204,0.663298545614629,0.04647611269441618,0.006764585628179946,0.5534165680644136,0.5238095028463804,0.0030358227079538553,0.05511811023622047,0.04550137463661169,0.17358633592856546,0.4611756952004901,0.9360593325673033
1,0.0,0.10377952755905512,0.05302701728034742,0.3377398726139283,0.050569869210654574,0.919953747588592,0.5952380774194233,0.49666059502125076,0.11811023622047244,0.12629683556751378,0.11419674816748412,0.8108280968879145,0.4944971030169257
1,0.0,0.07732283464566929,0.02825821221508739,0.2870120767850193,0.025675061675723348,0.8284609390782373,0.3571428310437435,0.2434729811778992,0.49606299212598426,0.24539707454852253,0.18843149114178165,0.8507735110238606,0.6094529435092095
1,0.0,0.24409448818897636,0.06345598301542787,0.0662891901181289,0.21241361387174407,0.37217851410659697,0.5952380774194233,0.20886460230722526,0.007874015748031496,0.3984239194207603,0.25194360071319805,0.8638328779976473,0.7993759177960401
1,0.5714285714285714,0.3228346456692913,0.2899922915311878,0.21760376777947957,0.0,0.22113378346279272,0.5476190277040613,0.009107468123861567,0.49606299212598426,0.024464825499240582,0.15416066295891354,0.3702837786557467,0.9047328589033801
1,0.7142857142857143,0.26141732283464564,0.15288777654545135,0.16144538090414648,0.02952318160837953,0.146940361916517,0.8095238231498527,0.15846994535519127,0.0,0.5235532021967743,0.02165615321934496,0.5316756442915703,0.8112318067253059
1,0.0,0.4661417322834645,0.01800056090491473,0.07461437437521695,0.23487320490687366,0.5376621942312687,0.49999998018982944,0.39344262295081966,0.023622047244094488,0.4912377761875092,0.1367404612297755,0.38095404397856625,0.05144040902775032
1,0.42857142857142855,0.6456692913385826,0.7963290165738437,0.18749413962267228,0.008846718247424659,0.7008484881111212,0.5476190277040613,0.0036429872495446266,0.0,0.015173769437865763,0.3278610119291053,0.3499254670533951,0.902518192243112
1,0.0,0.4236220472440944,0.1240574101630223,0.2691653817913787,0.012666305783847236,0.9669806399193718,0.5714285525617423,0.2926533090467517,0.2440944881889764,0.08831810917432556,0.13572660242762985,0.48470152176083464,0.3604754451317481
1,0.0,0.46771653543307085,0.02897422685787196,0.14531408683993857,0.15994079571043418,0.6379561140426627,0.5714285525617423,0.2817243472981178,0.05511811023622047,0.2931457197443597,0.05334941116307654,0.7317651840066035,0.22794586758453325
1,0.2857142857142857,0.10362204724409448,0.33761211422368903,0.517979561809658,0.010205551397170264,0.26087822418267426,0.5476190277040613,0.03217972070431087,0.007874015748031496,0.0911197400627036,0.13394067231922635,0.7449362012138184,0.7988533106668513
1,0.42857142857142855,0.1763779527559055,0.11930015190591955,0.2824216548359559,0.002391642180437005,0.014980987617184985,0.6428571249336552,0.4353369763205829,0.2440944881889764,0.0625083110356009,0.15547052657937208,0.38179004481252643,0.13100893894155763
1,0.0,0.5464566929133857,0.12226985795410472,0.12128984795910996,0.11807724811590536,0.21184661670325863,0.49999998018982944,0.5306618093503339,0.007874015748031496,0.3147664357288177,0.08496994827873668,0.8749783602306507,0.05144040902775032
