flood,Density_River,Density_Road,Distan2river,Distan2road_met,NDVI,aspect,curvature,dem,flowDir,lulc,rainfall,slope,twi,NDBI,NDWI
1,5.44E-04,2.4902637,1048.8649,182.43353,0.117649496,323.1301,-2,191,16,40,414.93076,2.3215306,7.779227,-0.09612263,-0.45302415
1,4.19E-04,1.2673203,722.149,208.3155,0.122842655,116.56505,5,118,16,40,823.4787,1.0386748,7.0471363,0.19175836,-0.358253
1,4.40E-04,7.6116447,480.06732,60.809933,0.24379706,45,4,4,16,40,1073.6947,1.9701859,7.127027,-0.24898873,-0.624902
1,3.96E-05,3.6352346,2562.4053,193.89166,0.40182352,193.3925,2,226,4,10,1014.77277,9.927914,8.187348,-0.32592666,-0.7203725
1,2.73E-04,4.2708573,2551.0754,412.10587,0.24042928,95.013115,-3,271,1,10,490.2187,13.0598345,7.3266797,-0.017584099,-0.54184765
1,2.69E-04,1.0412403,2770.0798,1408.1986,0.25683776,290.9245,-3,348,16,10,499.51276,16.443417,7.71054,-0.14354451,-0.52187836
1,1.01E-04,4.917827,2647.112,155.0355,0.35436094,251.56505,-1,428,4,30,782.5406,1.4687471,8.84512,-0.16735254,-0.5210009
1,4.78E-04,9.657724,1119.4448,84.1935,0.14707316,191.30994,-3,7,1,40,1087.4622,1.1842326,11.859108,-0.23413025,-0.44219652
1,1.31E-04,3.8687007,374.78,273.0876,0.011416553,315,1,0,0,80,920.58746,0.3284902,11.859108,0.04730447,-0.13109244
1,3.65E-04,10.147056,564.8925,171.99998,0.008353144,358.15237,12,18,64,60,1085.28,7.166818,7.85023,0.032749742,0.018394649
1,2.96E-04,1.6489024,1129.0688,459.51376,0.2694953,123.69007,-9,472,8,30,472.71564,1.6745193,9.945365,-0.09766904,-0.59831697
1,1.22E-04,4.9739695,3210.8472,85.99999,0.22034949,164.24883,6,317,2,10,481.62488,9.32904,7.0022936,0.056818184,-0.476493
1,1.93E-04,0.97093046,881.7621,399.1134,0.21897921,345.96375,-9,230,128,10,343.9271,3.8251698,7.005814,0.06771443,-0.47865286
1,1.29E-04,4.357953,1362.9598,71.47445,0.11768299,0,0,437,1,30,662.2414,1.3934064,11.859108,-0.07294361,-0.55355805
1,0,4.2943163,8056.0312,42.999996,0.08997872,6.340191,2,428,4,40,477.2078,2.1024425,8.001566,0.063170165,-0.45378911
1,1.84E-04,1.4737567,2686.0132,675.35455,0.12948233,120.96376,9,196,8,30,355.59985,4.0564528,7.49832,0.18928203,-0.37289122
1,7.68E-05,0,4950.2944,7426.2686,0.34406197,135,12,407,1,10,643.1002,0.3284902,9.319037,-0.3098217,-0.7254088
1,4.37E-04,12.615357,1517.9734,90.31767,0.100557275,341.56506,3,3,4,40,1134.5986,0.7344942,8.587828,0.009169315,-0.4084398
1,0,1.4300754,6448.1494,243.2447,0.37350795,241.38954,5,468,4,10,835.56964,5.801021,7.5716743,-0.16310647,-0.5417032
1,2.45E-04,1.690548,210.56412,645.5078,-0.06581141,45,-5,197,32,30,348.37878,4.262538,7.085575,-0.24955116,0.608769
1,2.42E-04,1.736324,345.45483,121.62235,0.12710537,329.03625,0,195,1,30,347.46924,2.7068136,8.049583,0.05354347,-0.38718066
1,6.28E-04,10.096193,580.20825,0,0.094310254,146.30994,-1,3,1,40,1079.3531,1.6745193,8.557667,-0.24520303,-0.47704116
1,2.20E-04,0.6619098,3909.0935,3627.1313,0.43303126,104.03625,-25,854,16,10,323.48523,7.616542,6.6593833,-0.42691338,-0.7606052
1,4.76E-04,12.625745,614.258,100.44561,0.120795995,18.434948,3,9,4,40,1089.4225,2.2025177,8.182222,0.22645526,-0.34499043
1,9.26E-05,4.5335865,2907.1116,315.97006,0.26549906,104.534454,-3,424,1,10,398.9541,6.4515057,8.6158285,-0.033492822,-0.6081218
1,1.41E-04,0.7247526,3709.5867,1289.9999,0.25411397,237.26477,-19,334,16,10,798.0297,7.6853986,6.9645734,-0.12984337,-0.5871453
1,3.08E-04,4.9410577,141.51059,30.38851,0.1743795,317.60257,-15,489,32,30,277.87894,7.196245,7.440467,0.05939124,-0.520096
1,2.89E-04,11.520733,627.52637,152.02794,0.17071658,83.659805,-7,7,16,40,1226.4109,2.1024425,6.661431,-0.1979284,-0.1319149
1,2.12E-04,2.6456687,2014.1112,435.5443,0.1572976,305.2176,18,445,16,30,669.78,9.576685,8.60568,0.11557993,-0.42473823
1,1.93E-04,2.0252686,464.925,1923.9119,0.31767505,221.56638,8,270,4,10,782.9175,16.023031,8.194999,-0.14824797,-0.64217687
1,2.18E-04,3.603099,3935.5964,21.499998,0.12113121,67.619865,13,202,128,40,518.01605,4.262538,7.2264037,0.16398287,-0.36827558
1,2.56E-04,1.5271624,1626.6874,1471.7719,0.32186526,302.00537,-3,245,8,10,857.24316,17.012379,7.01538,-0.16308329,-0.6255085
1,5.86E-05,4.889568,4621.6494,143.32114,0.14922643,323.74615,-15,322,16,40,481.8093,8.576682,6.276684,0.21192677,-0.4098582
